Timestamp | Level | Message
2026-03-02T20:10:33.639Z | INFO | 🌱 Ensuring weapons are seeded for tests...
2026-03-02T20:10:33.786Z | INFO | ✅ Weapons seeded
2026-03-02T20:10:33.846Z | INFO | [Admin] Running 3 bulk cycles (includeTournaments: false, generateUsersPerCycle: true)...
2026-03-02T20:10:33.848Z | INFO | === Cycle 41 Started ===
2026-03-02T20:10:33.848Z | INFO | Cycle 41 (1/3)
2026-03-02T20:10:33.848Z | INFO |  [Admin] === Cycle 41 (1/3) ===
2026-03-02T20:10:33.853Z | INFO | [Admin] Step 1: Execute League Battles (1v1)
2026-03-02T20:10:33.853Z | INFO | [BattleOrchestrator] Executing all scheduled league battles
2026-03-02T20:10:33.857Z | INFO | [BattleOrchestrator] Found 0 matches to execute
2026-03-02T20:10:33.857Z | INFO | [BattleOrchestrator] Execution complete: 0 successful, 0 failed, 0 bye-matches
2026-03-02T20:10:33.857Z | INFO | [BattleOrchestrator] Reputation: 0 prestige, 0 fame awarded
2026-03-02T20:10:33.858Z | INFO | [Admin] Step 2: Repair All Robots (post-league)
2026-03-02T20:10:33.917Z | INFO | [RepairService] | User 6093 | Robot 50232 (User1Robot0) | Cost: ₡6,670 | Discount: 0%
2026-03-02T20:10:33.926Z | INFO | [RepairService] | User 6093 | Robot 50234 (User1Robot2) | Cost: ₡33,810 | Discount: 0%
2026-03-02T20:10:33.932Z | INFO | [RepairService] | User 6093 | Robot 50233 (User1Robot1) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:33.936Z | INFO | [RepairService] | User 6093 | Robot 50235 (User1Robot3) | Cost: ₡19,780 | Discount: 0%
2026-03-02T20:10:33.947Z | INFO | [RepairService] | User 6094 | Robot 50236 (User2Robot0) | Cost: ₡46,000 | Discount: 0%
2026-03-02T20:10:33.951Z | INFO | [RepairService] | User 6094 | Robot 50239 (User2Robot3) | Cost: ₡34,155 | Discount: 0%
2026-03-02T20:10:33.956Z | INFO | [RepairService] | User 6094 | Robot 50238 (User2Robot2) | Cost: ₡34,155 | Discount: 0%
2026-03-02T20:10:33.960Z | INFO | [RepairService] | User 6094 | Robot 50237 (User2Robot1) | Cost: ₡46,000 | Discount: 0%
2026-03-02T20:10:33.967Z | INFO | [RepairService] | User 6078 | Robot 50187 (User1Robot3) | Cost: ₡31,740 | Discount: 0%
2026-03-02T20:10:33.972Z | INFO | [RepairService] | User 6078 | Robot 50184 (User1Robot0) | Cost: ₡15,870 | Discount: 0%
2026-03-02T20:10:33.976Z | INFO | [RepairService] | User 6078 | Robot 50185 (User1Robot1) | Cost: ₡33,810 | Discount: 0%
2026-03-02T20:10:33.980Z | INFO | [RepairService] | User 6078 | Robot 50186 (User1Robot2) | Cost: ₡32,775 | Discount: 0%
2026-03-02T20:10:34.008Z | INFO | [RepairService] | User 6082 | Robot 50199 (User2Robot3) | Cost: ₡31,395 | Discount: 0%
2026-03-02T20:10:34.012Z | INFO | [RepairService] | User 6082 | Robot 50196 (User2Robot0) | Cost: ₡14,720 | Discount: 0%
2026-03-02T20:10:34.017Z | INFO | [RepairService] | User 6082 | Robot 50198 (User2Robot2) | Cost: ₡33,120 | Discount: 0%
2026-03-02T20:10:34.021Z | INFO | [RepairService] | User 6082 | Robot 50197 (User2Robot1) | Cost: ₡19,320 | Discount: 0%
2026-03-02T20:10:34.028Z | INFO | [RepairService] | User 6081 | Robot 50195 (User1Robot3) | Cost: ₡15,410 | Discount: 0%
2026-03-02T20:10:34.033Z | INFO | [RepairService] | User 6081 | Robot 50193 (User1Robot1) | Cost: ₡31,740 | Discount: 0%
